competition_key,season_key,competition_period,label,start_year,end_year,is_final,playhq_id,source,status
amnd,amnd-winter-2000,winter,Winter 2000,2000,2000,1,archive:amnd-winter-2000,archive_pdf,completed
amnd,amnd-winter-2001,winter,Winter 2001,2001,2001,1,archive:amnd-winter-2001,archive_pdf,completed
amnd,amnd-winter-2002,winter,Winter 2002,2002,2002,1,archive:amnd-winter-2002,archive_pdf,completed
amnd,amnd-winter-2003,winter,Winter 2003,2003,2003,1,archive:amnd-winter-2003,archive_pdf,completed
amnd,amnd-winter-2004,winter,Winter 2004,2004,2004,1,archive:amnd-winter-2004,archive_pdf,completed
amnd,amnd-winter-2005,winter,Winter 2005,2005,2005,1,archive:amnd-winter-2005,archive_pdf,completed
amnd,amnd-winter-2006,winter,Winter 2006,2006,2006,1,archive:amnd-winter-2006,archive_pdf,completed
amnd,amnd-winter-2007,winter,Winter 2007,2007,2007,1,archive:amnd-winter-2007,archive_pdf,completed
amnd,amnd-winter-2008,winter,Winter 2008,2008,2008,1,archive:amnd-winter-2008,archive_pdf,completed
amnd,amnd-winter-2009,winter,Winter 2009,2009,2009,1,archive:amnd-winter-2009,archive_pdf,completed
amnd,amnd-winter-2010,winter,Winter 2010,2010,2010,1,archive:amnd-winter-2010,archive_pdf,completed
amnd,amnd-winter-2011,winter,Winter 2011,2011,2011,1,archive:amnd-winter-2011,archive_pdf,completed
amnd,amnd-winter-2012,winter,Winter 2012,2012,2012,1,archive:amnd-winter-2012,archive_pdf,completed
amnd,amnd-winter-2013,winter,Winter 2013,2013,2013,1,archive:amnd-winter-2013,archive_pdf,completed
amnd,amnd-winter-2014,winter,Winter 2014,2014,2014,1,archive:amnd-winter-2014,archive_pdf,completed
amnd,amnd-winter-2016,winter,Winter 2016,2016,2016,1,archive:amnd-winter-2016,archive_pdf,completed
