club_key,grade_key,display_name,squad_number,playhq_id
contax,amnd-winter-2000-amnd-league,Contax,,archive:amnd-winter-2000:amnd-league:contax:none
harlequin,amnd-winter-2000-amnd-league,Harlequin,,archive:amnd-winter-2000:amnd-league:harlequin:none
woods-panthers,amnd-winter-2000-amnd-league,Woods Panthers,,archive:amnd-winter-2000:amnd-league:woods-panthers:none
tango-netball-club-inc,amnd-winter-2000-amnd-league,Tango,,archive:amnd-winter-2000:amnd-league:tango-netball-club-inc:none
adelaide-cougars,amnd-winter-2000-amnd-league,Adelaide Cougars,,archive:amnd-winter-2000:amnd-league:adelaide-cougars:none
matrics,amnd-winter-2000-amnd-league,Matrics,,archive:amnd-winter-2000:amnd-league:matrics:none
garville,amnd-winter-2000-amnd-league,Garville,,archive:amnd-winter-2000:amnd-league:garville:none
oakdale-netball-club-sa,amnd-winter-2000-amnd-league,Oakdale,,archive:amnd-winter-2000:amnd-league:oakdale-netball-club-sa:none
cheerio-netball-club,amnd-winter-2000-amnd-league,Cheerio,,archive:amnd-winter-2000:amnd-league:cheerio-netball-club:none
norwood-netball-club,amnd-winter-2000-amnd-league,Newton Jaguars,,archive:amnd-winter-2000:amnd-league:norwood-netball-club:none
cheerio-netball-club,amnd-winter-2000-a-grade,Cheerio,,archive:amnd-winter-2000:a-grade:cheerio-netball-club:none
harlequin,amnd-winter-2000-a-grade,Harlequin,,archive:amnd-winter-2000:a-grade:harlequin:none
contax,amnd-winter-2000-a-grade,Contax,,archive:amnd-winter-2000:a-grade:contax:none
garville,amnd-winter-2000-a-grade,Garville,,archive:amnd-winter-2000:a-grade:garville:none
adelaide-cougars,amnd-winter-2000-a-grade,Adelaide Cougars,,archive:amnd-winter-2000:a-grade:adelaide-cougars:none
oakdale-netball-club-sa,amnd-winter-2000-a-grade,Oakdale,,archive:amnd-winter-2000:a-grade:oakdale-netball-club-sa:none
tango-netball-club-inc,amnd-winter-2000-a-grade,Tango,,archive:amnd-winter-2000:a-grade:tango-netball-club-inc:none
woods-panthers,amnd-winter-2000-a-grade,Woods Panthers,,archive:amnd-winter-2000:a-grade:woods-panthers:none
norwood-netball-club,amnd-winter-2000-a-grade,Newton Jaguars,,archive:amnd-winter-2000:a-grade:norwood-netball-club:none
matrics,amnd-winter-2000-a-grade,Matrics,,archive:amnd-winter-2000:a-grade:matrics:none
contax,amnd-winter-2000-b-1,Contax,,archive:amnd-winter-2000:b-1:contax:none
pembroke-o-s,amnd-winter-2000-b-1,Pembroke,,archive:amnd-winter-2000:b-1:pembroke-o-s:none
glandore,amnd-winter-2000-b-1,Glandore,,archive:amnd-winter-2000:b-1:glandore:none
