club_key,alias_text,source
adelaide-university,Adelaide University,playhq
adelaide-wildcats,Adelaide Wildcats,playhq
central-district-netball-club,Central District Netball Club,playhq
cheerio-netball-club,Cheerio Netball Club,playhq
city-coasters,City Coasters,playhq
contax,Contax,playhq
dragons,Dragons,playhq
garville,Garville,playhq
matrics,Matrics,playhq
metro-jets,Metro Jets,playhq
northeast-zodiac,Northeast Zodiac,playhq
norwood-netball-club,Norwood Netball Club,playhq
oakdale-netball-club-sa,Oakdale Netball Club (SA),playhq
old-ignatians,Old Ignatians,playhq
pembroke-o-s,Pembroke O.S.,playhq
phoenix-netball-club-sa,Phoenix Netball Club (SA),playhq
reynella-netball-club,Reynella Netball Club,playhq
sacred-heart-o-c,Sacred Heart O.C.,playhq
scotch-old-scholars,Scotch Old Scholars,playhq
semaphore,Semaphore,playhq
south-adelaide-netball-club,South Adelaide Netball Club,playhq
strikers-club,Strikers (Club),playhq
tango-netball-club-inc,Tango Netball Club Inc,playhq
walkerville,Walkerville,playhq
west-croydon-netball-club,West Croydon Netball Club,playhq
adelaide-university,Adeaide Uni.,archive_pdf
adelaide-university,Adelaide Uni.,archive_pdf
adelaide-university,Adelaide Uniiversity,archive_pdf
adelaide-university,Adelaide University,archive_pdf
adelaide-wildcats,Adelaide Wildcats,archive_pdf
adelaide-cougars,Adelaide Cougars,archive_pdf
adelaide-cougars,Cougars,archive_pdf
adelaide-swish,Adelaide Swish,archive_pdf
adelaide-swish,Swish,archive_pdf
annesley-o-s,Annesley O.S.,archive_pdf
blue-jays,Blue Jays,archive_pdf
brahma-united,Brahma United,archive_pdf
camden,Camden,archive_pdf
cardijn-cats,Cardijn Cats,archive_pdf
cardijn-cats,CardijnCats,archive_pdf
cheerio-netball-club,Cheerio,archive_pdf
cheerio-netball-club,Cheerio Phoenix,archive_pdf
city-coasters,City Coasters,archive_pdf
clovelly-park,Clovelly Park,archive_pdf
contax,Contax,archive_pdf
cove-lightning,Cove,archive_pdf
cove-lightning,Cove Lightning,archive_pdf
devils-sports,Devils,archive_pdf
devils-sports,Devils Sports,archive_pdf
fielders-flames,Fielders,archive_pdf
fielders-flames,Fielders Flames,archive_pdf
fielders-flames,Flames,archive_pdf
flinders-park,Flinders Park,archive_pdf
flinders-university,Flinders Uni.,archive_pdf
flinders-university,Flinders University,archive_pdf
garville,Garville,archive_pdf
glandore,Glandore,archive_pdf
glandore-clovelly-park,Glandore/Clov.Pk,archive_pdf
golden-grove,Golden Grove,archive_pdf
hallett-cove,Hallett Cove,archive_pdf
harlequin,Harlequin,archive_pdf
heatwave,Heatwave,archive_pdf
henley,Henley,archive_pdf
hope-valley,Hope Valley,archive_pdf
immanuel-doves,Immanuel,archive_pdf
immanuel-doves,Immanuel Doves,archive_pdf
norwood-netball-club,Jaguars,archive_pdf
norwood-netball-club,Newton Jaguars,archive_pdf
kilburn-knights,Kilburn Knights,archive_pdf
kookaburras,Kookaburras,archive_pdf
sa-ladybirds,Ladybirds,archive_pdf
sa-ladybirds,SA Ladybirds,archive_pdf
metro-magic,M/Magic,archive_pdf
metro-magic,Meto Magic,archive_pdf
metro-magic,Metro Magic,archive_pdf
mosa,MOSA,archive_pdf
matrics,Matrics,archive_pdf
meadows,Meadows,archive_pdf
mercedes-o-s,Mercedes O.S.,archive_pdf
michelangelo,Michelangelo,archive_pdf
morphettville-park,Morphettville Park,archive_pdf
noarlunga,Noarlunga,archive_pdf
northeast-zodiac,Northeast Zodiac,archive_pdf
northeast-zodiac,Northeast Zodiacs,archive_pdf
oakdale-netball-club-sa,Oakdale,archive_pdf
oakdale-netball-club-sa,Oakdale Phoenix,archive_pdf
oakdale-netball-club-sa,Phoenix,archive_pdf
old-ignatians,Old Ignatian,archive_pdf
old-ignatians,Old Ignatians,archive_pdf
panthers,Panthers,archive_pdf
woods,Woods,archive_pdf
woods-panthers,Woods Panthers,archive_pdf
woods-panthers,Woodspanthers,archive_pdf
pembroke-o-s,Pembroke,archive_pdf
pembroke-o-s,Pembroke O.S.,archive_pdf
sacred-heart-o-c,Sacred Heart,archive_pdf
sacred-heart-o-c,Sacred Heart O.C.,archive_pdf
sacred-heart-o-c,Sacred Heart O.S.,archive_pdf
scotch-old-scholars,Scotch College O.S.,archive_pdf
scotch-old-scholars,Scotch O.C.,archive_pdf
scotch-old-scholars,Scotch O.S.,archive_pdf
seacombe,Seacombe,archive_pdf
semaphore,Semaphore,archive_pdf
seymour-o-c,Seymour O.C.,archive_pdf
tango-netball-club-inc,Tango,archive_pdf
walford-o-s,Walford O.S.,archive_pdf
walkerville,Walkerville,archive_pdf
walkerville,Walkerville Cats,archive_pdf
metro-jets,Western Jets,archive_pdf
westminster-o-s,Westminster O.S.,archive_pdf
