club_key,name,established_year,home_venue,playhq_id
adelaide-university,Adelaide University,,,d5bdb649
adelaide-wildcats,Adelaide Wildcats,,,92fdb2ed
central-district-netball-club,Central District Netball Club,,,dc36fa73
cheerio-netball-club,Cheerio Netball Club,,,4d3928a7
city-coasters,City Coasters,,,923e1965
contax,Contax,,,a8ee2320
dragons,Dragons,,,0820437a
garville,Garville,,,241b44c0
matrics,Matrics,,,0969cc64
metro-jets,Metro Jets,,,601b914e
northeast-zodiac,Northeast Zodiac,,,832c9e92
norwood-netball-club,Norwood Netball Club,,,d275f255
oakdale-netball-club-sa,Oakdale Netball Club (SA),,,2f66832f
old-ignatians,Old Ignatians,,,0113cb3e
pembroke-o-s,Pembroke O.S.,,,0b5f7af5
phoenix-netball-club-sa,Phoenix Netball Club (SA),,,7185ea4d
reynella-netball-club,Reynella Netball Club,,,485b7b56
sacred-heart-o-c,Sacred Heart O.C.,,,d45fe04a
scotch-old-scholars,Scotch Old Scholars,,,19f539c8
semaphore,Semaphore,,,df4ce4d8
south-adelaide-netball-club,South Adelaide Netball Club,,,2e63c9f2
strikers-club,Strikers (Club),,,0b4c7b3e
tango-netball-club-inc,Tango Netball Club Inc,,,d4389d20
walkerville,Walkerville,,,a83c7a81
west-croydon-netball-club,West Croydon Netball Club,,,202bd461
