grade_key,playhq_id,round,round_name,played_at,home_playhq_id,away_playhq_id,home_score,away_score,status,forfeiting_side,source,scraped_at
premier_league-annual-2026-premier-division,3dbe3b48,1,Round 1,1775813400,de3e7a2c,e7e6387c,43,48,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,793b2568,1,Round 1,1776418200,145018b5,1b1eca94,42,61,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,7a88b135,1,Round 1,1775813400,9965376c,3ac22eae,49,57,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,7e57a8d9,1,Round 1,1776418200,91ec8080,b9936ea5,54,57,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,11187141,2,Round 2,1776850200,145018b5,3ac22eae,39,47,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,17bd5ae3,2,Round 2,1777023000,b9936ea5,de3e7a2c,53,49,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,57c8700e,2,Round 2,1776850200,1b1eca94,91ec8080,64,53,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,cd8c4290,2,Round 2,1777023000,e7e6387c,9965376c,55,45,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,0b8aa931,3,Round 3,1777455000,1b1eca94,9965376c,60,63,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,2ec56100,3,Round 3,1777455000,b9936ea5,145018b5,65,50,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,bc4f92e1,3,Round 3,1777627800,3ac22eae,e7e6387c,51,64,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,f5b86e36,3,Round 3,1777627800,91ec8080,de3e7a2c,43,55,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,6304913d,4,Round 4,1780479000,91ec8080,e7e6387c,52,53,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,71c6cb88,4,Round 4,1778059800,145018b5,9965376c,43,71,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,bef44a7f,4,Round 4,1778059800,b9936ea5,3ac22eae,63,68,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,d2af0983,4,Round 4,1780479000,de3e7a2c,1b1eca94,60,50,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,232e7265,5,Round 5,1779442200,3ac22eae,91ec8080,65,51,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,500da862,5,Round 5,1779269400,de3e7a2c,145018b5,42,45,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,7426ccc4,5,Round 5,1779442200,1b1eca94,e7e6387c,54,53,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,b18bc81e,5,Round 5,1779269400,9965376c,b9936ea5,68,58,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,2742dca4,6,Round 6,1779874200,e7e6387c,145018b5,54,35,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,5c4da3a4,6,Round 6,1780047000,b9936ea5,1b1eca94,54,66,final,,playhq,1786500804964
