competition_key,tier,division,label,weight
premier_league,1,,Premier Division,1
premier_league_reserves,2,,Reserves Division,0.8
amnd,3,,AMND League,0.75
amnd,4,,A. Grade,0.68
amnd,5,1,B 1,0.62
amnd,5,2,B 2,0.59
amnd,5,3,B 3,0.56
amnd,5,4,B 4,0.53
amnd,5,5,B 5,0.5
amnd,5,6,B 6,0.47
amnd,6,1,Inter. 1,0.45
amnd,6,2,Inter. 2,0.43
amnd,6,3,Inter. 3,0.41
amnd,6,4,Inter. 4,0.39
amnd,6,5,Inter. 5,0.37
amnd,7,1,C 1,0.36
amnd,7,2,C 2,0.34
amnd,7,3,C 3,0.32
amnd,7,4,C 4,0.3
amnd,7,5,C 5,0.28
amnd,7,6,C 6,0.26
amnd,8,1,Junior 1,0.38
amnd,8,2,Junior 2,0.365
amnd,8,3,Junior 3,0.35
amnd,8,4,Junior 4,0.335
amnd,8,5,Junior 5,0.32
amnd,8,6,Junior 6,0.305
amnd,8,7,Junior 7,0.29
amnd,8,8,Junior 8,0.275
amnd,9,1,Sub-Junior 1,0.32
amnd,9,2,Sub-Junior 2,0.305
amnd,9,3,Sub-Junior 3,0.29
amnd,9,4,Sub-Junior 4,0.275
amnd,9,5,Sub-Junior 5,0.26
amnd,9,6,Sub-Junior 6,0.245
amnd,9,7,Sub-Junior 7,0.23
amnd,9,8,Sub-Junior 8,0.215
amnd,10,1,Primary 1,0.26
amnd,10,2,Primary 2,0.245
amnd,10,3,Primary 3,0.23
amnd,10,4,Primary 4,0.215
amnd,10,5,Primary 5,0.2
amnd,10,6,Primary 6,0.185
amnd,11,1,Sub-Primary 1,0.2
amnd,11,2,Sub-Primary 2,0.185
