competition_key,season_key,competition_period,label,start_year,end_year,is_final,playhq_id,source,status
amnd,amnd-winter-2022,winter,Winter 2022,2022,2022,1,1e073dea,playhq,completed
amnd,amnd-winter-2023,winter,Winter 2023,2023,2023,1,7570c2c4,playhq,completed
amnd,amnd-winter-2024,winter,Winter 2024,2024,2024,1,4f37cb95,playhq,completed
amnd,amnd-winter-2025,winter,Winter 2025,2025,2025,1,f6dd6ad2,playhq,completed
amnd,amnd-winter-2026,winter,Winter 2026,2026,2026,0,89a07f7a,playhq,active
premier_league_reserves,premier_league_reserves-annual-2023,annual,2023,2023,2023,1,fdb84e54,playhq,completed
premier_league_reserves,premier_league_reserves-annual-2024,annual,2024,2024,2024,1,6b351c9a,playhq,completed
premier_league_reserves,premier_league_reserves-annual-2025,annual,2025,2025,2025,1,3b0a635f,playhq,completed
premier_league_reserves,premier_league_reserves-annual-2026,annual,2026,2026,2026,0,b6ba0f43,playhq,active
premier_league,premier_league-annual-2023,annual,2023,2023,2023,1,fdb84e54,playhq,completed
premier_league,premier_league-annual-2024,annual,2024,2024,2024,1,6b351c9a,playhq,completed
premier_league,premier_league-annual-2025,annual,2025,2025,2025,1,3b0a635f,playhq,completed
premier_league,premier_league-annual-2026,annual,2026,2026,2026,0,b6ba0f43,playhq,active
