grade_key,club_key,squad_number,playhq_id,display_name,ladder_position,position_uncertain,played,won,drawn,lost,byes,goals_for,goals_against,goal_difference,points,percentage,shots_attempted,shots_scored,source,placement_basis,notes,scraped_at
premier_league-annual-2024-premier-division,matrics,,t-m-2024,Matrics,1,0,12,10,0,2,0,600,400,200,20,150,,,playhq,regular_season_ladder,,1700000000000
premier_league-annual-2024-premier-division,contax,,t-c-2024,Contax,2,0,12,8,0,4,0,550,450,100,16,122.22,,,playhq,regular_season_ladder,,1700000000000
premier_league-annual-2024-premier-division,woods,,t-w-2024,Woodville,3,0,12,6,0,6,0,500,500,0,12,100,,,playhq,regular_season_ladder,,1700000000000
premier_league-annual-2024-premier-division,garville,,t-g-2024,Garville,4,0,12,4,0,8,0,400,600,-200,8,66.67,,,playhq,regular_season_ladder,,1700000000000
premier_league-annual-2025-premier-division,contax,,t-c-2025,Contax,1,0,12,11,0,1,0,620,380,240,22,163.16,,,playhq,regular_season_ladder,,1700000000001
premier_league-annual-2025-premier-division,matrics,,t-m-2025,Matrics,2,0,12,8,0,4,0,540,460,80,16,117.39,,,playhq,regular_season_ladder,,1700000000001
premier_league-annual-2025-premier-division,garville,,t-g-2025,Garville,3,0,12,5,0,7,0,480,520,-40,10,92.31,,,playhq,regular_season_ladder,,1700000000001
premier_league-annual-2025-premier-division,woods,,t-w-2025,Woodville,4,0,12,2,0,10,0,360,640,-280,4,56.25,,,playhq,regular_season_ladder,,1700000000001
premier_league-annual-2026-premier-division,woods,,t-w-2026,Woodville,1,0,6,5,0,1,0,280,200,80,10,140,,,playhq,regular_season_ladder,,1700000000002
premier_league-annual-2026-premier-division,matrics,,t-m-2026,Matrics,2,0,6,4,0,2,0,260,220,40,8,118.18,,,playhq,regular_season_ladder,,1700000000002
premier_league-annual-2026-premier-division,contax,,t-c-2026,Contax,3,0,6,2,0,4,0,220,260,-40,4,84.62,,,playhq,regular_season_ladder,,1700000000002
premier_league-annual-2026-premier-division,garville,,t-g-2026,Garville,4,0,6,1,0,5,0,200,280,-80,2,71.43,,,playhq,regular_season_ladder,,1700000000002
