club_key,grade_key,display_name,squad_number,playhq_id
matrics,premier_league-annual-2024-premier-division,Matrics,,t-m-2024
contax,premier_league-annual-2024-premier-division,Contax,,t-c-2024
woods,premier_league-annual-2024-premier-division,Woodville,,t-w-2024
garville,premier_league-annual-2024-premier-division,Garville,,t-g-2024
matrics,premier_league-annual-2025-premier-division,Matrics,,t-m-2025
contax,premier_league-annual-2025-premier-division,Contax,,t-c-2025
woods,premier_league-annual-2025-premier-division,Woodville,,t-w-2025
garville,premier_league-annual-2025-premier-division,Garville,,t-g-2025
matrics,premier_league-annual-2026-premier-division,Matrics,,t-m-2026
contax,premier_league-annual-2026-premier-division,Contax,,t-c-2026
woods,premier_league-annual-2026-premier-division,Woodville,,t-w-2026
garville,premier_league-annual-2026-premier-division,Garville,,t-g-2026
